UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Park,NumberPark
8140,December 02 2015,1,Pug,7,F,TRUE,Staten Island,10304,TRUE,10
1,January 27 2015,1,Jack Russell,11,M,FALSE,Brooklyn,11217,TRUE,10
2,January 25 2015,1,Bull Mastiff,,U,FALSE,Brooklyn,11201,TRUE,19
3,January 20 2015,1,Mix,,U,FALSE,Brooklyn,11236,TRUE,10
4,December 26 2014,1,Doberman Pinscher,,M,FALSE,Brooklyn,11204,TRUE,6
5,January 29 2015,1,Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
6,January 31 2015,1,Mix,3,M,FALSE,Brooklyn,11201,TRUE,0
7,January 31 2015,1,Mix,,F,FALSE,Brooklyn,11220,TRUE,6
8,January 23 2015,1,German Shepherd,4,M,FALSE,Brooklyn,11229,TRUE,7
9,February 04 2015,1,Pomeranian,1,F,FALSE,Brooklyn,11216,TRUE,5
10,February 05 2015,1,Dalmatian,10,M,TRUE,Brooklyn,11214,TRUE,13
11,February 01 2015,1,Rottweiler,,U,FALSE,Brooklyn,11204,TRUE,0
12,February 04 2015,1,Rottweiler,,U,FALSE,Brooklyn,11220,TRUE,0
13,February 06 2015,1,Shiba Inu,3,M,FALSE,Brooklyn,11252,FALSE,0
14,February 07 2015,1,Maltese,,U,FALSE,Brooklyn,11215,TRUE,14
15,February 07 2015,1,Pit Bull,5,M,TRUE,Brooklyn,11214,TRUE,0
16,February 06 2015,1,Dachshund Smooth Coat,,U,FALSE,Brooklyn,11201,TRUE,0
17,January 27 2015,1,Standard Poodle,,U,FALSE,Brooklyn,11214,TRUE,0
18,February 10 2015,1,Pembroke Welsh Corgi,,U,FALSE,Brooklyn,11204,TRUE,0
19,February 07 2015,1,Shiba Inu,,M,FALSE,Brooklyn,11206,TRUE,10
20,February 07 2015,1,Rat Terrier,5,M,TRUE,Brooklyn,11208,TRUE,11
21,January 27 2015,1,Mix,2,M,FALSE,Brooklyn,11228,TRUE,6
22,February 11 2015,1,Staffordshire Bull Terrier,4,M,FALSE,Brooklyn,11235,TRUE,7
23,February 11 2015,1,Rat Terrier,13,F,TRUE,Brooklyn,11209,TRUE,10
24,February 09 2015,1,Pit Bull,10,F,TRUE,Brooklyn,11232,TRUE,4
25,February 12 2015,1,German Shepherd,4,M,FALSE,Brooklyn,11229,TRUE,0
26,February 12 2015,1,Pit Bull,,U,FALSE,Brooklyn,11237,TRUE,4
27,February 14 2015,1,Akita,,M,FALSE,Brooklyn,11237,TRUE,0
28,February 15 2015,1,Mix,,M,FALSE,Brooklyn,11234,TRUE,12
29,February 15 2015,1,Pit Bull,,U,FALSE,Brooklyn,11234,TRUE,0
30,February 13 2015,1,Pit Bull,4,M,TRUE,Brooklyn,11221,TRUE,2
31,February 17 2015,1,Chihuahua,,U,FALSE,Brooklyn,11218,TRUE,11
32,February 15 2015,1,Mix,1,M,FALSE,Brooklyn,11207,TRUE,11
33,February 12 2015,1,Old English Mastiff,,U,FALSE,Brooklyn,11231,TRUE,16
34,February 18 2015,1,Yorkshire Terrier,3,M,FALSE,Brooklyn,11233,TRUE,14
35,February 17 2015,1,Pit Bull,5,M,FALSE,Brooklyn,11207,TRUE,0
36,February 19 2015,1,English Springer Spaniel,7,U,TRUE,Brooklyn,11213,TRUE,4
37,February 21 2015,1,Pit Bull,,U,FALSE,Brooklyn,11217,TRUE,0
38,February 06 2015,1,Shiba Inu,3,M,FALSE,Brooklyn,11201,TRUE,0
39,February 12 2015,1,Pit Bull,,U,FALSE,Brooklyn,11224,TRUE,12
40,February 22 2015,1,Pit Bull,10,M,TRUE,Brooklyn,11235,TRUE,0
41,February 24 2015,1,Pit Bull,1,F,FALSE,Brooklyn,11215,TRUE,0
42,February 24 2015,1,Pit Bull,10,F,TRUE,Brooklyn,11210,TRUE,5
43,February 24 2015,1,West Highland White Terrier,,U,FALSE,Brooklyn,11234,TRUE,0
44,February 22 2015,1,Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
